CA_name,PTYPE2011,land_assmt_11_psf
Logan Square                            ,SINGLE FAMILY,2.699874213836478
Logan Square                            ,TOWN HOUSE,2.6997893232453096
Logan Square                            ,VACANT LAND,2.7
Loop                                    ,2-6 UNIT,13.0
Loop                                    ,7+ UNIT,10.0
Loop                                    ,COMM/IND,9.223319535295987
Loop                                    ,CONDO,0.02565079365079365
Loop                                    ,NON PROFIT,62.5
Loop                                    ,SINGLE FAMILY,5.000111284219898
Loop                                    ,TOWN HOUSE,10.0
Loop                                    ,VACANT LAND,7.5
Lower West Side                         ,2-6 UNIT,2.4
Lower West Side                         ,7+ UNIT,0.849883700125246
Lower West Side                         ,COMM/IND,2.0623898484314416
Lower West Side                         ,CONDO,0.13774625689519307
Lower West Side                         ,NON PROFIT,2.4061693548387098
Lower West Side                         ,SINGLE FAMILY,2.4
Lower West Side                         ,TOWN HOUSE,2.3997199859993
Lower West Side                         ,VACANT LAND,2.4
McKinley Park                           ,2-6 UNIT,1.5
McKinley Park                           ,7+ UNIT,1.1999790619765494
McKinley Park                           ,COMM/IND,1.5
McKinley Park                           ,CONDO,0.14761431411530815
McKinley Park                           ,SINGLE FAMILY,1.5
McKinley Park                           ,TOWN HOUSE,1.5
McKinley Park                           ,VACANT LAND,2.0
Montclare                               ,2-6 UNIT,1.4
Montclare                               ,7+ UNIT,1.5749411764705883
Montclare                               ,COMM/IND,3.93728
Montclare                               ,CONDO,0.10914211946954583
Montclare                               ,NON PROFIT,2.624991952617009
Montclare                               ,SINGLE FAMILY,1.4
Montclare                               ,TOWN HOUSE,1.3996212121212122
Montclare                               ,VACANT LAND,1.4
Morgan Park                             ,2-6 UNIT,0.8
Morgan Park                             ,7+ UNIT,0.8249747645951035
Morgan Park                             ,COMM/IND,1.4374880971620518
Morgan Park                             ,CONDO,0.032316602316602314
Morgan Park                             ,NON PROFIT,1.7499419437999484
Morgan Park                             ,SINGLE FAMILY,0.8
Morgan Park                             ,TOWN HOUSE,0.7997977755308392
Morgan Park                             ,VACANT LAND,0.7
Mount Greenwood                         ,2-6 UNIT,1.0
Mount Greenwood                         ,7+ UNIT,0.8249320592618568
Mount Greenwood                         ,COMM/IND,2.0624
Mount Greenwood                         ,CONDO,0.0449318676865407
Mount Greenwood                         ,NON PROFIT,2.0624
Mount Greenwood                         ,SINGLE FAMILY,1.0
Mount Greenwood                         ,TOWN HOUSE,1.0
Mount Greenwood                         ,VACANT LAND,1.0
Near North Side                         ,2-6 UNIT,10.0
Near North Side                         ,7+ UNIT,12.499809094178026
Near North Side                         ,COMM/IND,7.499843309307427
Near North Side                         ,CONDO,0.025837390978650544
Near North Side                         ,NON PROFIT,18.75
Near North Side                         ,SINGLE FAMILY,12.499718309859155
Near North Side                         ,TOWN HOUSE,8.0
Near North Side                         ,VACANT LAND,7.5
Near South Side                         ,2-6 UNIT,10.0
Near South Side                         ,7+ UNIT,3.0998757763975155
Near South Side                         ,COMM/IND,6.249884633133364
Near South Side                         ,CONDO,0.012999967821861826
Near South Side                         ,NON PROFIT,7.749812359269452
Near South Side                         ,SINGLE FAMILY,10.0
Near South Side                         ,TOWN HOUSE,10.0
Near South Side                         ,VACANT LAND,2.499286733238231
Near West Side                          ,2-6 UNIT,3.4
Near West Side                          ,7+ UNIT,1.0499929277530686
Near West Side                          ,COMM/IND,2.0625
Near West Side                          ,CONDO,0.012602965403624383
Near West Side                          ,NON PROFIT,2.6249338740962793
Near West Side                          ,SINGLE FAMILY,3.3998321208729716
Near West Side                          ,TOWN HOUSE,3.399641577060932
Near West Side                          ,VACANT LAND,2.4998095238095237
New City                                ,2-6 UNIT,1.0
New City                                ,7+ UNIT,0.82496
New City                                ,COMM/IND,1.09984
New City                                ,CONDO,0.004387169750343379
New City                                ,NON PROFIT,2.0621848739495796
New City                                ,SINGLE FAMILY,1.0
New City                                ,TOWN HOUSE,1.0995946728430805
New City                                ,VACANT LAND,0.7
North Center                            ,2-6 UNIT,3.6
North Center                            ,7+ UNIT,3.749950149551346
North Center                            ,COMM/IND,5.31232
North Center                            ,CONDO,0.13132885906040268
North Center                            ,NON PROFIT,5.312494774101842
North Center                            ,SINGLE FAMILY,3.5998256320836965
North Center                            ,TOWN HOUSE,3.599763740761971
North Center                            ,VACANT LAND,3.2
North Cook                              ,2-6 UNIT,0.825
North Cook                              ,7+ UNIT,1.3749152542372882
North Cook                              ,COMM/IND,2.124727272727273
North Cook                              ,CONDO,0.013112792238321153
North Cook                              ,NON PROFIT,0.09249832898080124
North Cook                              ,SINGLE FAMILY,0.8749061138566301
North Cook                              ,TOWN HOUSE,0.8748435544430538
North Cook                              ,VACANT LAND,0.8499859533513164
North Lawndale                          ,2-6 UNIT,1.4
North Lawndale                          ,7+ UNIT,0.8249206349206349
North Lawndale                          ,COMM/IND,1.374997205205026
North Lawndale                          ,CONDO,0.3918425324675325
North Lawndale                          ,SINGLE FAMILY,1.4
North Lawndale                          ,TOWN HOUSE,1.3998527245949925
North Lawndale                          ,VACANT LAND,1.49984
North Park                              ,2-6 UNIT,1.6
North Park                              ,7+ UNIT,1.5749333333333333
North Park                              ,COMM/IND,3.93728
North Park                              ,CONDO,0.051513200257566
North Park                              ,SINGLE FAMILY,1.599887345099512
North Park                              ,TOWN HOUSE,1.5997904662126767
North Park                              ,VACANT LAND,1.5999547809420984
Northwest Cook                          ,2-6 UNIT,0.5249378105604475
Northwest Cook                          ,7+ UNIT,0.65
Northwest Cook                          ,COMM/IND,1.4374971808326693
Northwest Cook                          ,CONDO,0.004967464058733668
Northwest Cook                          ,NON PROFIT,0.925000556893641
Northwest Cook                          ,SINGLE FAMILY,0.475
Northwest Cook                          ,TOWN HOUSE,0.8747445255474453
Northwest Cook                          ,VACANT LAND,0.3999600738633528
Norwood Park                            ,2-6 UNIT,1.6
Norwood Park                            ,7+ UNIT,1.57492813222752
Norwood Park                            ,COMM/IND,3.937307692307692
Norwood Park                            ,CONDO,0.05108544436895403
Norwood Park                            ,NON PROFIT,3.937333333333333
Norwood Park                            ,SINGLE FAMILY,1.4
Norwood Park                            ,TOWN HOUSE,1.4
Norwood Park                            ,VACANT LAND,1.4
O'Hare                                  ,2-6 UNIT,1.3999600638977636
O'Hare                                  ,7+ UNIT,1.5748941085868309
O'Hare                                  ,COMM/IND,1.624995786280128
O'Hare                                  ,CONDO,0.026303863096640866
O'Hare                                  ,NON PROFIT,
O'Hare                                  ,SINGLE FAMILY,1.4
O'Hare                                  ,TOWN HOUSE,1.4
O'Hare                                  ,VACANT LAND,1.5998600909408884
Oakland                                 ,2-6 UNIT,1.6
Oakland                                 ,7+ UNIT,1.1999445808024045
Oakland                                 ,COMM/IND,1.1999483337638852
Oakland                                 ,CONDO,0.05919968995252398
Oakland                                 ,NON PROFIT,0.21216136216136217
Oakland                                 ,SINGLE FAMILY,1.6
Oakland                                 ,TOWN HOUSE,1.6
Oakland                                 ,VACANT LAND,2.0
Portage Park                            ,2-6 UNIT,1.6
Portage Park                            ,7+ UNIT,1.5749333333333333
Portage Park                            ,COMM/IND,3.937333333333333
Portage Park                            ,CONDO,0.07940379403794037
Portage Park                            ,NON PROFIT,3.9374314884294126
Portage Park                            ,SINGLE FAMILY,1.5997899159663866
Portage Park                            ,TOWN HOUSE,1.5996505129600598
Portage Park                            ,VACANT LAND,1.5994575111580924
Pullman                                 ,2-6 UNIT,1.199919306031874
Pullman                                 ,7+ UNIT,0.44998774638518363
Pullman                                 ,COMM/IND,0.6409998181260468
Pullman                                 ,SINGLE FAMILY,1.1995451961341672
Pullman                                 ,TOWN HOUSE,1.2
Pullman                                 ,VACANT LAND,1.0
Riverdale                               ,2-6 UNIT,0.4
Riverdale                               ,7+ UNIT,0.4
Riverdale                               ,COMM/IND,0.4499569522169608
Riverdale                               ,SINGLE FAMILY,0.4
Riverdale                               ,TOWN HOUSE,0.3998397435897436
Riverdale                               ,VACANT LAND,0.4
Rogers Park                             ,2-6 UNIT,1.2
Rogers Park                             ,7+ UNIT,1.3249895119563697
Rogers Park                             ,COMM/IND,3.3123620262124556
Rogers Park                             ,CONDO,0.05396426326658885
Rogers Park                             ,SINGLE FAMILY,1.2
Rogers Park                             ,TOWN HOUSE,3.0
Rogers Park                             ,VACANT LAND,1.325
Roseland                                ,2-6 UNIT,0.6999237223493516
Roseland                                ,7+ UNIT,0.5123977873977874
Roseland                                ,COMM/IND,1.43744
Roseland                                ,CONDO,0.09838998211091235
Roseland                                ,NON PROFIT,1.8749152542372882
Roseland                                ,SINGLE FAMILY,0.699900296624996
Roseland                                ,TOWN HOUSE,0.7999231950844854
Roseland                                ,VACANT LAND,0.6997891110467176
South Chicago                           ,2-6 UNIT,0.8998561151079136
South Chicago                           ,7+ UNIT,0.7499082423596104
South Chicago                           ,COMM/IND,1.1248571428571428
South Chicago                           ,CONDO,0.08095238095238096
South Chicago                           ,NON PROFIT,1.87488
South Chicago                           ,SINGLE FAMILY,0.89992834965369
South Chicago                           ,TOWN HOUSE,0.8997674833106488
South Chicago                           ,VACANT LAND,0.89984
South Cook                              ,2-6 UNIT,0.3
South Cook                              ,7+ UNIT,0.4498245614035088
South Cook                              ,COMM/IND,0.74976
South Cook                              ,CONDO,0.005343552652884978
South Cook                              ,NON PROFIT,0.8748872180451128
South Cook                              ,SINGLE FAMILY,0.32432432432432434
South Cook                              ,TOWN HOUSE,0.49996777104550727
South Cook                              ,VACANT LAND,0.24986449864498644
South Deering                           ,2-6 UNIT,0.6
South Deering                           ,7+ UNIT,0.7499155782931982
South Deering                           ,COMM/IND,0.8
South Deering                           ,CONDO,0.07488271382172501
South Deering                           ,SINGLE FAMILY,0.6
South Deering                           ,TOWN HOUSE,0.6
South Deering                           ,VACANT LAND,0.22496
South Lawndale                          ,2-6 UNIT,1.4
South Lawndale                          ,7+ UNIT,0.82496
South Lawndale                          ,COMM/IND,1.4
South Lawndale                          ,CONDO,0.20873146228671663
South Lawndale                          ,NON PROFIT,3.9373578433265806
South Lawndale                          ,SINGLE FAMILY,1.4
South Lawndale                          ,TOWN HOUSE,1.399735274652548
South Lawndale                          ,VACANT LAND,1.49984
South Shore                             ,2-6 UNIT,0.9
South Shore                             ,7+ UNIT,0.7499674944740606
South Shore                             ,COMM/IND,1.8748572433290949
South Shore                             ,CONDO,0.03718857142857143
South Shore                             ,NON PROFIT,1.0312383785793975
South Shore                             ,SINGLE FAMILY,0.9
South Shore                             ,TOWN HOUSE,0.8998109640831758
South Shore                             ,VACANT LAND,1.1984126984126984
Southwest Cook                          ,2-6 UNIT,0.4497391304347826
Southwest Cook                          ,7+ UNIT,0.6499703135963728
Southwest Cook                          ,COMM/IND,1.1874252458690684
Southwest Cook                          ,CONDO,0.009372082374419449
Southwest Cook                          ,NON PROFIT,0.2335858585858586
Southwest Cook                          ,SINGLE FAMILY,0.4249084249084249
Southwest Cook                          ,TOWN HOUSE,0.5748669578978689
Southwest Cook                          ,VACANT LAND,0.2499842473378001
Uptown                                  ,2-6 UNIT,3.2
Uptown                                  ,7+ UNIT,3.75
Uptown                                  ,COMM/IND,9.374929971988795
Uptown                                  ,CONDO,0.058311874105865524
Uptown                                  ,NON PROFIT,9.375
Uptown                                  ,SINGLE FAMILY,3.2
Uptown                                  ,TOWN HOUSE,3.2
Uptown                                  ,VACANT LAND,3.19993459045937
Washingon Park                          ,2-6 UNIT,1.6
Washingon Park                          ,7+ UNIT,0.44998275562614465
Washingon Park                          ,COMM/IND,1.437157287157287
Washingon Park                          ,CONDO,0.1742463183623623
Washingon Park                          ,SINGLE FAMILY,1.5998995983935742
Washingon Park                          ,TOWN HOUSE,1.6
Washingon Park                          ,VACANT LAND,1.2
Washington Heights                      ,2-6 UNIT,0.8
Washington Heights                      ,7+ UNIT,0.5749328423657749
Washington Heights                      ,COMM/IND,1.43744
Washington Heights                      ,CONDO,0.13639455782312926
Washington Heights                      ,SINGLE FAMILY,0.8
Washington Heights                      ,TOWN HOUSE,0.7998656816655474
Washington Heights                      ,VACANT LAND,0.8
West Cook                               ,2-6 UNIT,0.6999737739312877
West Cook                               ,7+ UNIT,0.85
West Cook                               ,COMM/IND,1.6872634319099373
West Cook                               ,CONDO,0.019258709697363135
West Cook                               ,NON PROFIT,0.4999985954464374
West Cook                               ,SINGLE FAMILY,0.6
West Cook                               ,TOWN HOUSE,0.6997860708343238
West Cook                               ,VACANT LAND,0.5496636327661258
West Elsdon                             ,2-6 UNIT,1.0999522521088652
West Elsdon                             ,7+ UNIT,0.82496
West Elsdon                             ,COMM/IND,2.0624
West Elsdon                             ,CONDO,0.032342986084994356
West Elsdon                             ,SINGLE FAMILY,1.1
West Elsdon                             ,TOWN HOUSE,1.0996993987975952
West Elsdon                             ,VACANT LAND,1.09984
West Englewood                          ,2-6 UNIT,0.7
West Englewood                          ,7+ UNIT,0.8248212162126861
West Englewood                          ,COMM/IND,1.874872809496891
West Englewood                          ,CONDO,0.06663446237781315
West Englewood                          ,NON PROFIT,2.0624885152517454
West Englewood                          ,SINGLE FAMILY,0.7
West Englewood                          ,TOWN HOUSE,0.8
West Englewood                          ,VACANT LAND,0.7
West Garfield                           ,2-6 UNIT,1.4
West Garfield                           ,7+ UNIT,0.8248509775126498
West Garfield                           ,COMM/IND,1.3748571428571428
West Garfield                           ,CONDO,0.22156521739130436
West Garfield                           ,SINGLE FAMILY,1.4
West Garfield                           ,TOWN HOUSE,1.3999756572541382
West Garfield                           ,VACANT LAND,1.4
West Lawn                               ,2-6 UNIT,1.1
West Lawn                               ,7+ UNIT,0.82496
West Lawn                               ,COMM/IND,3.2498666666666667
West Lawn                               ,CONDO,0.0031220223864187662
West Lawn                               ,SINGLE FAMILY,1.1
West Lawn                               ,VACANT LAND,1.0999840025595904
West Pullman                            ,2-6 UNIT,0.6
West Pullman                            ,7+ UNIT,0.45
West Pullman                            ,COMM/IND,1.0
West Pullman                            ,CONDO,0.008778715714427171
West Pullman                            ,SINGLE FAMILY,0.6
West Pullman                            ,TOWN HOUSE,0.6995181991352708
West Pullman                            ,VACANT LAND,0.6
West Ridge                              ,2-6 UNIT,2.0
West Ridge                              ,7+ UNIT,1.5249581781879014
West Ridge                              ,COMM/IND,3.81248
West Ridge                              ,CONDO,0.07026881720430107
West Ridge                              ,NON PROFIT,3.8122580645161293
West Ridge                              ,SINGLE FAMILY,1.2
West Ridge                              ,TOWN HOUSE,1.3997562461913466
West Ridge                              ,VACANT LAND,1.3
West Town                               ,2-6 UNIT,3.4
West Town                               ,7+ UNIT,1.6999370177175348
West Town                               ,COMM/IND,3.4
West Town                               ,CONDO,0.31343831150418033
West Town                               ,NON PROFIT,1.8190725917747723
West Town                               ,SINGLE FAMILY,3.4
West Town                               ,TOWN HOUSE,3.399789029535865
West Town                               ,VACANT LAND,3.4
Woodlawn                                ,2-6 UNIT,1.1999031945788965
Woodlawn                                ,7+ UNIT,0.7499390371708252
Woodlawn                                ,COMM/IND,1.1999042969806921
Woodlawn                                ,CONDO,0.12375909467294402
Woodlawn                                ,SINGLE FAMILY,1.1997950819672132
Woodlawn                                ,TOWN HOUSE,1.0998197540769015
Woodlawn                                ,VACANT LAND,1.1997950819672132
