CA_name,PTYPE2011,sqft_land_11
                                        ,2-6 UNIT,3238.0
                                        ,7+ UNIT,18140.5
                                        ,COMM/IND,20891.0
                                        ,CONDO,31426.0
                                        ,NON PROFIT,0.0
                                        ,SINGLE FAMILY,9429.5
                                        ,TOWN HOUSE,1801.5
                                        ,VACANT LAND,11271.0
Albany Park                             ,2-6 UNIT,3750.0
Albany Park                             ,7+ UNIT,7496.0
Albany Park                             ,COMM/IND,3125.0
Albany Park                             ,CONDO,8557.0
Albany Park                             ,NON PROFIT,13297.0
Albany Park                             ,SINGLE FAMILY,3810.0
Albany Park                             ,TOWN HOUSE,1112.0
Albany Park                             ,VACANT LAND,2725.0
Archer Heights                          ,2-6 UNIT,3780.0
Archer Heights                          ,7+ UNIT,3125.0
Archer Heights                          ,COMM/IND,3127.5
Archer Heights                          ,CONDO,15625.0
Archer Heights                          ,NON PROFIT,3125.0
Archer Heights                          ,SINGLE FAMILY,3780.0
Archer Heights                          ,VACANT LAND,3201.0
Armour Square                           ,2-6 UNIT,3125.0
Armour Square                           ,7+ UNIT,6000.0
Armour Square                           ,COMM/IND,0.0
Armour Square                           ,CONDO,15458.0
Armour Square                           ,NON PROFIT,15428.0
Armour Square                           ,SINGLE FAMILY,2976.0
Armour Square                           ,TOWN HOUSE,1105.0
Armour Square                           ,VACANT LAND,3000.0
Ashburn                                 ,2-6 UNIT,4320.0
Ashburn                                 ,7+ UNIT,6250.0
Ashburn                                 ,COMM/IND,2700.0
Ashburn                                 ,CONDO,27692.0
Ashburn                                 ,NON PROFIT,317042.0
Ashburn                                 ,SINGLE FAMILY,4515.0
Ashburn                                 ,TOWN HOUSE,2376.5
Ashburn                                 ,VACANT LAND,3125.0
Auburn Gresham                          ,2-6 UNIT,4000.0
Auburn Gresham                          ,7+ UNIT,7187.0
Auburn Gresham                          ,COMM/IND,0.0
Auburn Gresham                          ,CONDO,29160.0
Auburn Gresham                          ,NON PROFIT,4500.0
Auburn Gresham                          ,SINGLE FAMILY,3780.0
Auburn Gresham                          ,TOWN HOUSE,1801.0
Auburn Gresham                          ,VACANT LAND,3140.0
Austin                                  ,2-6 UNIT,3840.0
Austin                                  ,7+ UNIT,7936.0
Austin                                  ,COMM/IND,2700.0
Austin                                  ,CONDO,16050.0
Austin                                  ,NON PROFIT,7203.0
Austin                                  ,SINGLE FAMILY,3968.0
Austin                                  ,TOWN HOUSE,1190.0
Austin                                  ,VACANT LAND,3150.0
Avalon Park                             ,2-6 UNIT,3750.0
Avalon Park                             ,7+ UNIT,7500.0
Avalon Park                             ,COMM/IND,2760.0
Avalon Park                             ,CONDO,5976.0
Avalon Park                             ,SINGLE FAMILY,3780.0
Avalon Park                             ,TOWN HOUSE,1398.0
Avalon Park                             ,VACANT LAND,3125.0
Avondale                                ,2-6 UNIT,3175.0
Avondale                                ,7+ UNIT,6269.0
Avondale                                ,COMM/IND,3125.0
Avondale                                ,CONDO,8494.0
Avondale                                ,NON PROFIT,6300.0
Avondale                                ,SINGLE FAMILY,3150.0
Avondale                                ,TOWN HOUSE,972.0
Avondale                                ,VACANT LAND,3075.0
Belmont Cragin                          ,2-6 UNIT,3750.0
Belmont Cragin                          ,7+ UNIT,6347.0
Belmont Cragin                          ,COMM/IND,3125.0
Belmont Cragin                          ,CONDO,8424.0
Belmont Cragin                          ,NON PROFIT,3418.0
Belmont Cragin                          ,SINGLE FAMILY,3750.0
Belmont Cragin                          ,TOWN HOUSE,1374.0
Belmont Cragin                          ,VACANT LAND,3125.0
Beverly                                 ,2-6 UNIT,6150.0
Beverly                                 ,7+ UNIT,10000.0
Beverly                                 ,COMM/IND,2962.0
Beverly                                 ,CONDO,11772.0
Beverly                                 ,NON PROFIT,53700.0
Beverly                                 ,SINGLE FAMILY,6150.0
Beverly                                 ,TOWN HOUSE,1985.0
Beverly                                 ,VACANT LAND,3775.0
Bridgeport                              ,2-6 UNIT,3031.0
Bridgeport                              ,7+ UNIT,3125.0
Bridgeport                              ,COMM/IND,2736.0
Bridgeport                              ,CONDO,18488.0
Bridgeport                              ,NON PROFIT,2976.0
Bridgeport                              ,SINGLE FAMILY,3000.0
Bridgeport                              ,TOWN HOUSE,1250.0
Bridgeport                              ,VACANT LAND,3000.0
Brighton Park                           ,2-6 UNIT,3150.0
Brighton Park                           ,7+ UNIT,6111.5
Brighton Park                           ,COMM/IND,3125.0
Brighton Park                           ,CONDO,3134.0
Brighton Park                           ,NON PROFIT,3375.0
Brighton Park                           ,SINGLE FAMILY,3150.0
Brighton Park                           ,TOWN HOUSE,1287.0
Brighton Park                           ,VACANT LAND,3125.0
Burnside                                ,2-6 UNIT,3125.0
Burnside                                ,7+ UNIT,10100.0
Burnside                                ,COMM/IND,0.0
Burnside                                ,SINGLE FAMILY,3125.0
Burnside                                ,TOWN HOUSE,2550.0
Burnside                                ,VACANT LAND,3100.0
Calumet Heights                         ,2-6 UNIT,4375.0
Calumet Heights                         ,7+ UNIT,4484.0
Calumet Heights                         ,COMM/IND,0.0
Calumet Heights                         ,CONDO,7300.0
Calumet Heights                         ,NON PROFIT,3125.0
Calumet Heights                         ,SINGLE FAMILY,3833.0
Calumet Heights                         ,TOWN HOUSE,3437.0
Calumet Heights                         ,VACANT LAND,3125.0
Chatham                                 ,2-6 UNIT,3844.0
Chatham                                 ,7+ UNIT,7500.0
Chatham                                 ,COMM/IND,2725.0
Chatham                                 ,CONDO,11070.0
Chatham                                 ,SINGLE FAMILY,4025.0
Chatham                                 ,TOWN HOUSE,1682.0
Chatham                                 ,VACANT LAND,3125.0
Chicago Lawn                            ,2-6 UNIT,3750.0
Chicago Lawn                            ,7+ UNIT,7308.0
Chicago Lawn                            ,COMM/IND,3125.0
Chicago Lawn                            ,CONDO,9300.0
Chicago Lawn                            ,SINGLE FAMILY,3750.0
Chicago Lawn                            ,TOWN HOUSE,3150.0
Chicago Lawn                            ,VACANT LAND,3145.0
Clearing                                ,2-6 UNIT,3780.0
Clearing                                ,7+ UNIT,5700.0
Clearing                                ,COMM/IND,3112.0
Clearing                                ,CONDO,12244.0
Clearing                                ,NON PROFIT,3250.0
Clearing                                ,SINGLE FAMILY,3750.0
Clearing                                ,TOWN HOUSE,1217.0
Clearing                                ,VACANT LAND,3125.0
Douglas                                 ,2-6 UNIT,2976.0
Douglas                                 ,7+ UNIT,7400.0
Douglas                                 ,COMM/IND,0.0
Douglas                                 ,CONDO,113462.0
Douglas                                 ,SINGLE FAMILY,2420.0
Douglas                                 ,TOWN HOUSE,1916.0
Douglas                                 ,VACANT LAND,2875.0
Dunning                                 ,2-6 UNIT,3875.0
Dunning                                 ,7+ UNIT,6378.5
Dunning                                 ,COMM/IND,3125.0
Dunning                                 ,CONDO,40839.0
Dunning                                 ,NON PROFIT,8820.0
Dunning                                 ,SINGLE FAMILY,3780.0
Dunning                                 ,TOWN HOUSE,3300.0
Dunning                                 ,VACANT LAND,3100.0
East Garfield                           ,2-6 UNIT,3125.0
East Garfield                           ,7+ UNIT,6002.5
East Garfield                           ,COMM/IND,0.0
East Garfield                           ,CONDO,3943.0
East Garfield                           ,SINGLE FAMILY,2662.0
East Garfield                           ,TOWN HOUSE,1366.5
East Garfield                           ,VACANT LAND,3125.0
East Side                               ,2-6 UNIT,3125.0
East Side                               ,7+ UNIT,5253.5
East Side                               ,COMM/IND,3025.0
East Side                               ,SINGLE FAMILY,3968.0
East Side                               ,TOWN HOUSE,3125.0
East Side                               ,VACANT LAND,3125.0
Edgewater                               ,2-6 UNIT,3840.0
Edgewater                               ,7+ UNIT,7500.0
Edgewater                               ,COMM/IND,2960.0
Edgewater                               ,CONDO,25421.0
Edgewater                               ,NON PROFIT,149534.5
Edgewater                               ,SINGLE FAMILY,3874.0
Edgewater                               ,TOWN HOUSE,1180.0
Edgewater                               ,VACANT LAND,3125.0
Edison Park                             ,2-6 UNIT,4464.0
Edison Park                             ,7+ UNIT,6250.0
Edison Park                             ,COMM/IND,3125.0
Edison Park                             ,CONDO,12015.0
Edison Park                             ,SINGLE FAMILY,4720.0
Edison Park                             ,TOWN HOUSE,1796.0
Edison Park                             ,VACANT LAND,1299.0
Englewood                               ,2-6 UNIT,3125.0
Englewood                               ,7+ UNIT,6104.5
Englewood                               ,COMM/IND,0.0
Englewood                               ,CONDO,7871.0
Englewood                               ,SINGLE FAMILY,3125.0
Englewood                               ,TOWN HOUSE,1743.0
Englewood                               ,VACANT LAND,3125.0
Forest Glen                             ,2-6 UNIT,4000.0
Forest Glen                             ,7+ UNIT,6380.0
Forest Glen                             ,COMM/IND,2750.0
Forest Glen                             ,CONDO,18216.0
Forest Glen                             ,NON PROFIT,2925.0
Forest Glen                             ,SINGLE FAMILY,5200.0
Forest Glen                             ,TOWN HOUSE,1768.0
Forest Glen                             ,VACANT LAND,2356.0
Fuller Park                             ,2-6 UNIT,3050.0
Fuller Park                             ,7+ UNIT,5950.0
Fuller Park                             ,COMM/IND,0.0
Fuller Park                             ,CONDO,3546.5
Fuller Park                             ,SINGLE FAMILY,3005.0
Fuller Park                             ,TOWN HOUSE,2790.0
Fuller Park                             ,VACANT LAND,2965.0
Gage Park                               ,2-6 UNIT,3750.0
Gage Park                               ,7+ UNIT,7250.0
Gage Park                               ,COMM/IND,3125.0
Gage Park                               ,CONDO,12613.0
Gage Park                               ,NON PROFIT,3125.0
Gage Park                               ,SINGLE FAMILY,3750.0
Gage Park                               ,TOWN HOUSE,1434.0
Gage Park                               ,VACANT LAND,3125.0
Garfield Ridge                          ,2-6 UNIT,3780.0
Garfield Ridge                          ,7+ UNIT,5825.0
Garfield Ridge                          ,COMM/IND,3125.0
Garfield Ridge                          ,CONDO,10662.0
Garfield Ridge                          ,NON PROFIT,7687.0
Garfield Ridge                          ,SINGLE FAMILY,3875.0
Garfield Ridge                          ,TOWN HOUSE,2090.0
Garfield Ridge                          ,VACANT LAND,3125.0
Grand Boulevard                         ,2-6 UNIT,3300.0
Grand Boulevard                         ,7+ UNIT,8050.0
Grand Boulevard                         ,COMM/IND,0.0
Grand Boulevard                         ,CONDO,7960.0
Grand Boulevard                         ,SINGLE FAMILY,2975.0
Grand Boulevard                         ,TOWN HOUSE,1370.0
Grand Boulevard                         ,VACANT LAND,3661.5
Greater Grand Crossing                  ,2-6 UNIT,3844.0
Greater Grand Crossing                  ,7+ UNIT,7666.5
Greater Grand Crossing                  ,COMM/IND,0.0
Greater Grand Crossing                  ,CONDO,10885.0
Greater Grand Crossing                  ,NON PROFIT,11846.5
Greater Grand Crossing                  ,SINGLE FAMILY,3975.0
Greater Grand Crossing                  ,TOWN HOUSE,2084.0
Greater Grand Crossing                  ,VACANT LAND,3125.0
Hegewisch                               ,2-6 UNIT,3125.0
Hegewisch                               ,7+ UNIT,37845.0
Hegewisch                               ,COMM/IND,1743.0
Hegewisch                               ,CONDO,20106.0
Hegewisch                               ,NON PROFIT,7455.0
Hegewisch                               ,SINGLE FAMILY,4250.0
Hegewisch                               ,TOWN HOUSE,14062.5
Hegewisch                               ,VACANT LAND,3541.0
Hermosa                                 ,2-6 UNIT,3750.0
Hermosa                                 ,7+ UNIT,7041.0
Hermosa                                 ,COMM/IND,3137.0
Hermosa                                 ,CONDO,9399.0
Hermosa                                 ,SINGLE FAMILY,3717.0
Hermosa                                 ,VACANT LAND,3125.0
Humboldt Park                           ,2-6 UNIT,3250.0
Humboldt Park                           ,7+ UNIT,6250.0
Humboldt Park                           ,COMM/IND,3000.0
Humboldt Park                           ,CONDO,6235.0
Humboldt Park                           ,SINGLE FAMILY,3125.0
Humboldt Park                           ,TOWN HOUSE,1032.0
Humboldt Park                           ,VACANT LAND,3125.0
Hyde Park                               ,2-6 UNIT,4742.5
Hyde Park                               ,7+ UNIT,10721.0
Hyde Park                               ,COMM/IND,0.0
Hyde Park                               ,CONDO,21320.0
Hyde Park                               ,NON PROFIT,6000.0
Hyde Park                               ,SINGLE FAMILY,3750.0
Hyde Park                               ,TOWN HOUSE,1798.0
Hyde Park                               ,VACANT LAND,3120.0
Irving Park                             ,2-6 UNIT,3756.0
Irving Park                             ,7+ UNIT,6400.0
Irving Park                             ,COMM/IND,3125.0
Irving Park                             ,CONDO,8781.0
Irving Park                             ,NON PROFIT,4028.0
Irving Park                             ,SINGLE FAMILY,3780.0
Irving Park                             ,TOWN HOUSE,1305.5
Irving Park                             ,VACANT LAND,3125.0
Jefferson Park                          ,2-6 UNIT,3750.0
Jefferson Park                          ,7+ UNIT,7068.0
Jefferson Park                          ,COMM/IND,2600.0
Jefferson Park                          ,CONDO,9000.0
Jefferson Park                          ,NON PROFIT,2600.0
Jefferson Park                          ,SINGLE FAMILY,3750.0
Jefferson Park                          ,TOWN HOUSE,1700.0
Jefferson Park                          ,VACANT LAND,3116.5
Kenwood                                 ,2-6 UNIT,3195.0
Kenwood                                 ,7+ UNIT,12858.0
Kenwood                                 ,COMM/IND,0.0
Kenwood                                 ,CONDO,24263.0
Kenwood                                 ,SINGLE FAMILY,4020.0
Kenwood                                 ,TOWN HOUSE,1197.0
Kenwood                                 ,VACANT LAND,3115.5
Lakeview                                ,2-6 UNIT,3125.0
Lakeview                                ,7+ UNIT,7500.0
Lakeview                                ,COMM/IND,3125.0
Lakeview                                ,CONDO,18469.0
Lakeview                                ,NON PROFIT,1825.0
Lakeview                                ,SINGLE FAMILY,3125.0
Lakeview                                ,TOWN HOUSE,1224.5
Lakeview                                ,VACANT LAND,2762.5
Lincoln Park                            ,2-6 UNIT,3075.0
Lincoln Park                            ,7+ UNIT,5520.0
Lincoln Park                            ,COMM/IND,2500.0
Lincoln Park                            ,CONDO,20946.0
Lincoln Park                            ,NON PROFIT,5952.0
Lincoln Park                            ,SINGLE FAMILY,3075.0
Lincoln Park                            ,TOWN HOUSE,1164.0
Lincoln Park                            ,VACANT LAND,2976.0
Lincoln Square                          ,2-6 UNIT,3750.0
Lincoln Square                          ,7+ UNIT,7600.0
Lincoln Square                          ,COMM/IND,6700.0
Lincoln Square                          ,CONDO,9317.5
Lincoln Square                          ,NON PROFIT,6000.0
Lincoln Square                          ,SINGLE FAMILY,3750.0
Lincoln Square                          ,TOWN HOUSE,1563.0
Lincoln Square                          ,VACANT LAND,2797.0
Logan Square                            ,2-6 UNIT,3191.0
Logan Square                            ,7+ UNIT,6300.0
Logan Square                            ,COMM/IND,3029.5
Logan Square                            ,CONDO,8515.0
