CA_name,PTYPE2011,sqft_land_11
Logan Square                            ,NON PROFIT,15125.0
Logan Square                            ,SINGLE FAMILY,3125.0
Logan Square                            ,TOWN HOUSE,1079.5
Logan Square                            ,VACANT LAND,3000.0
Loop                                    ,2-6 UNIT,2400.0
Loop                                    ,7+ UNIT,5520.0
Loop                                    ,COMM/IND,6546.0
Loop                                    ,CONDO,34837.0
Loop                                    ,NON PROFIT,6324.0
Loop                                    ,SINGLE FAMILY,5009.0
Loop                                    ,TOWN HOUSE,1002.0
Loop                                    ,VACANT LAND,6769.0
Lower West Side                         ,2-6 UNIT,3000.0
Lower West Side                         ,7+ UNIT,3125.0
Lower West Side                         ,COMM/IND,2500.0
Lower West Side                         ,CONDO,9058.0
Lower West Side                         ,NON PROFIT,2750.0
Lower West Side                         ,SINGLE FAMILY,3000.0
Lower West Side                         ,TOWN HOUSE,1500.0
Lower West Side                         ,VACANT LAND,2750.0
McKinley Park                           ,2-6 UNIT,3100.0
McKinley Park                           ,7+ UNIT,6082.0
McKinley Park                           ,COMM/IND,3125.0
McKinley Park                           ,CONDO,6598.0
McKinley Park                           ,SINGLE FAMILY,3024.0
McKinley Park                           ,TOWN HOUSE,1057.0
McKinley Park                           ,VACANT LAND,3000.0
Montclare                               ,2-6 UNIT,4714.5
Montclare                               ,7+ UNIT,8500.0
Montclare                               ,COMM/IND,3150.0
Montclare                               ,CONDO,9421.0
Montclare                               ,NON PROFIT,21120.0
Montclare                               ,SINGLE FAMILY,4125.0
Montclare                               ,TOWN HOUSE,1056.0
Montclare                               ,VACANT LAND,3150.0
Morgan Park                             ,2-6 UNIT,4375.0
Morgan Park                             ,7+ UNIT,8305.0
Morgan Park                             ,COMM/IND,0.0
Morgan Park                             ,CONDO,28702.0
Morgan Park                             ,NON PROFIT,4930.0
Morgan Park                             ,SINGLE FAMILY,4960.0
Morgan Park                             ,TOWN HOUSE,2158.0
Morgan Park                             ,VACANT LAND,3130.5
Mount Greenwood                         ,2-6 UNIT,3810.0
Mount Greenwood                         ,7+ UNIT,11407.0
Mount Greenwood                         ,COMM/IND,3125.0
Mount Greenwood                         ,CONDO,28720.0
Mount Greenwood                         ,NON PROFIT,3125.0
Mount Greenwood                         ,SINGLE FAMILY,4880.0
Mount Greenwood                         ,TOWN HOUSE,758.5
Mount Greenwood                         ,VACANT LAND,3050.0
Near North Side                         ,2-6 UNIT,2550.0
Near North Side                         ,7+ UNIT,3936.5
Near North Side                         ,COMM/IND,3000.0
Near North Side                         ,CONDO,28449.0
Near North Side                         ,NON PROFIT,4625.0
Near North Side                         ,SINGLE FAMILY,2928.0
Near North Side                         ,TOWN HOUSE,1175.0
Near North Side                         ,VACANT LAND,2750.0
Near South Side                         ,2-6 UNIT,4221.0
Near South Side                         ,7+ UNIT,8500.0
Near South Side                         ,COMM/IND,0.0
Near South Side                         ,CONDO,36485.0
Near South Side                         ,NON PROFIT,4025.0
Near South Side                         ,SINGLE FAMILY,2424.0
Near South Side                         ,TOWN HOUSE,1088.0
Near South Side                         ,VACANT LAND,3640.0
Near West Side                          ,2-6 UNIT,3000.0
Near West Side                          ,7+ UNIT,6903.0
Near West Side                          ,COMM/IND,0.0
Near West Side                          ,CONDO,32300.0
Near West Side                          ,NON PROFIT,5960.0
Near West Side                          ,SINGLE FAMILY,2670.0
Near West Side                          ,TOWN HOUSE,1152.5
Near West Side                          ,VACANT LAND,2750.0
New City                                ,2-6 UNIT,3100.0
New City                                ,7+ UNIT,5448.5
New City                                ,COMM/IND,0.0
New City                                ,CONDO,123770.0
New City                                ,NON PROFIT,2975.0
New City                                ,SINGLE FAMILY,3125.0
New City                                ,TOWN HOUSE,1724.0
New City                                ,VACANT LAND,3125.0
North Center                            ,2-6 UNIT,3125.0
North Center                            ,7+ UNIT,6250.0
North Center                            ,COMM/IND,3125.0
North Center                            ,CONDO,9053.0
North Center                            ,NON PROFIT,9180.0
North Center                            ,SINGLE FAMILY,3125.0
North Center                            ,TOWN HOUSE,1389.0
North Center                            ,VACANT LAND,3109.0
North Cook                              ,2-6 UNIT,5250.0
North Cook                              ,7+ UNIT,10342.0
North Cook                              ,COMM/IND,3075.0
North Cook                              ,CONDO,44250.0
North Cook                              ,NON PROFIT,75650.0
North Cook                              ,SINGLE FAMILY,7500.0
North Cook                              ,TOWN HOUSE,2580.0
North Cook                              ,VACANT LAND,3690.0
North Lawndale                          ,2-6 UNIT,3125.0
North Lawndale                          ,7+ UNIT,6089.5
North Lawndale                          ,COMM/IND,0.0
North Lawndale                          ,CONDO,3557.0
North Lawndale                          ,SINGLE FAMILY,3125.0
North Lawndale                          ,TOWN HOUSE,1828.5
North Lawndale                          ,VACANT LAND,3125.0
North Park                              ,2-6 UNIT,3750.0
North Park                              ,7+ UNIT,6907.5
North Park                              ,COMM/IND,2700.0
North Park                              ,CONDO,16022.0
North Park                              ,SINGLE FAMILY,3832.5
North Park                              ,TOWN HOUSE,2110.0
North Park                              ,VACANT LAND,3720.0
Northwest Cook                          ,2-6 UNIT,5954.0
Northwest Cook                          ,7+ UNIT,16621.0
Northwest Cook                          ,COMM/IND,11580.0
Northwest Cook                          ,CONDO,222625.0
Northwest Cook                          ,NON PROFIT,59180.5
Northwest Cook                          ,SINGLE FAMILY,9020.0
Northwest Cook                          ,TOWN HOUSE,2500.0
Northwest Cook                          ,VACANT LAND,9714.0
Norwood Park                            ,2-6 UNIT,3900.0
Norwood Park                            ,7+ UNIT,7097.0
Norwood Park                            ,COMM/IND,2900.0
Norwood Park                            ,CONDO,28884.0
Norwood Park                            ,NON PROFIT,2250.0
Norwood Park                            ,SINGLE FAMILY,4669.0
Norwood Park                            ,TOWN HOUSE,1631.5
Norwood Park                            ,VACANT LAND,2700.0
O'Hare                                  ,2-6 UNIT,5460.0
O'Hare                                  ,7+ UNIT,5676.0
O'Hare                                  ,COMM/IND,0.0
O'Hare                                  ,CONDO,39054.0
O'Hare                                  ,NON PROFIT,
O'Hare                                  ,SINGLE FAMILY,5750.0
O'Hare                                  ,TOWN HOUSE,1045.0
O'Hare                                  ,VACANT LAND,11874.0
Oakland                                 ,2-6 UNIT,3350.0
Oakland                                 ,7+ UNIT,8120.0
Oakland                                 ,COMM/IND,0.0
Oakland                                 ,CONDO,15750.0
Oakland                                 ,NON PROFIT,4484.0
Oakland                                 ,SINGLE FAMILY,3176.0
Oakland                                 ,TOWN HOUSE,1513.0
Oakland                                 ,VACANT LAND,3449.0
Portage Park                            ,2-6 UNIT,3990.0
Portage Park                            ,7+ UNIT,7560.0
Portage Park                            ,COMM/IND,3125.0
Portage Park                            ,CONDO,12938.0
Portage Park                            ,NON PROFIT,5083.5
Portage Park                            ,SINGLE FAMILY,3847.0
Portage Park                            ,TOWN HOUSE,1589.0
Portage Park                            ,VACANT LAND,3036.0
Pullman                                 ,2-6 UNIT,3087.0
Pullman                                 ,7+ UNIT,17069.0
Pullman                                 ,COMM/IND,0.0
Pullman                                 ,SINGLE FAMILY,3720.0
Pullman                                 ,TOWN HOUSE,3106.0
Pullman                                 ,VACANT LAND,3150.0
Riverdale                               ,2-6 UNIT,5712.0
Riverdale                               ,7+ UNIT,733614.0
Riverdale                               ,COMM/IND,0.0
Riverdale                               ,SINGLE FAMILY,5197.0
Riverdale                               ,TOWN HOUSE,2501.5
Riverdale                               ,VACANT LAND,6800.0
Rogers Park                             ,2-6 UNIT,4200.0
Rogers Park                             ,7+ UNIT,8600.0
Rogers Park                             ,COMM/IND,550.0
Rogers Park                             ,CONDO,14058.0
Rogers Park                             ,SINGLE FAMILY,5643.0
Rogers Park                             ,TOWN HOUSE,1356.0
Rogers Park                             ,VACANT LAND,3149.0
Roseland                                ,2-6 UNIT,4100.0
Roseland                                ,7+ UNIT,7983.5
Roseland                                ,COMM/IND,0.0
Roseland                                ,CONDO,8385.0
Roseland                                ,NON PROFIT,2950.0
Roseland                                ,SINGLE FAMILY,3750.0
Roseland                                ,TOWN HOUSE,3224.0
Roseland                                ,VACANT LAND,3225.5
South Chicago                           ,2-6 UNIT,3475.0
South Chicago                           ,7+ UNIT,6250.0
South Chicago                           ,COMM/IND,0.0
South Chicago                           ,CONDO,13290.0
South Chicago                           ,NON PROFIT,3125.0
South Chicago                           ,SINGLE FAMILY,3750.0
South Chicago                           ,TOWN HOUSE,2084.0
South Chicago                           ,VACANT LAND,3125.0
South Cook                              ,2-6 UNIT,5000.0
South Cook                              ,7+ UNIT,7822.0
South Cook                              ,COMM/IND,0.0
South Cook                              ,CONDO,144501.0
South Cook                              ,NON PROFIT,8624.0
South Cook                              ,SINGLE FAMILY,7020.0
South Cook                              ,TOWN HOUSE,2625.0
South Cook                              ,VACANT LAND,3475.0
South Deering                           ,2-6 UNIT,3475.0
South Deering                           ,7+ UNIT,77915.5
South Deering                           ,COMM/IND,0.0
South Deering                           ,CONDO,5542.0
South Deering                           ,SINGLE FAMILY,4050.0
South Deering                           ,TOWN HOUSE,4002.0
South Deering                           ,VACANT LAND,3125.0
South Lawndale                          ,2-6 UNIT,3125.0
South Lawndale                          ,7+ UNIT,5344.0
South Lawndale                          ,COMM/IND,3043.0
South Lawndale                          ,CONDO,6231.0
South Lawndale                          ,NON PROFIT,5776.5
South Lawndale                          ,SINGLE FAMILY,3125.0
South Lawndale                          ,TOWN HOUSE,3022.0
South Lawndale                          ,VACANT LAND,3125.0
South Shore                             ,2-6 UNIT,4062.0
South Shore                             ,7+ UNIT,10000.0
South Shore                             ,COMM/IND,751.5
South Shore                             ,CONDO,16569.0
South Shore                             ,NON PROFIT,8067.0
South Shore                             ,SINGLE FAMILY,4401.0
South Shore                             ,TOWN HOUSE,1093.0
South Shore                             ,VACANT LAND,3541.0
Southwest Cook                          ,2-6 UNIT,6412.0
Southwest Cook                          ,7+ UNIT,14400.0
Southwest Cook                          ,COMM/IND,3125.0
Southwest Cook                          ,CONDO,109840.0
Southwest Cook                          ,NON PROFIT,11029.0
Southwest Cook                          ,SINGLE FAMILY,8125.0
Southwest Cook                          ,TOWN HOUSE,2868.0
Southwest Cook                          ,VACANT LAND,6650.0
Uptown                                  ,2-6 UNIT,4299.0
Uptown                                  ,7+ UNIT,8183.5
Uptown                                  ,COMM/IND,2787.0
Uptown                                  ,CONDO,15195.0
Uptown                                  ,NON PROFIT,19400.0
Uptown                                  ,SINGLE FAMILY,4631.5
Uptown                                  ,TOWN HOUSE,1271.0
Uptown                                  ,VACANT LAND,3891.5
Washingon Park                          ,2-6 UNIT,4116.0
Washingon Park                          ,7+ UNIT,9420.0
Washingon Park                          ,COMM/IND,0.0
Washingon Park                          ,CONDO,8742.0
Washingon Park                          ,SINGLE FAMILY,3423.0
Washingon Park                          ,TOWN HOUSE,10800.0
Washingon Park                          ,VACANT LAND,4025.0
Washington Heights                      ,2-6 UNIT,4322.0
Washington Heights                      ,7+ UNIT,6650.0
Washington Heights                      ,COMM/IND,0.0
Washington Heights                      ,CONDO,8820.0
Washington Heights                      ,SINGLE FAMILY,3937.0
Washington Heights                      ,TOWN HOUSE,1489.0
Washington Heights                      ,VACANT LAND,3125.0
West Cook                               ,2-6 UNIT,4158.0
West Cook                               ,7+ UNIT,7131.0
West Cook                               ,COMM/IND,3125.0
West Cook                               ,CONDO,25271.0
West Cook                               ,NON PROFIT,6281.0
West Cook                               ,SINGLE FAMILY,5625.0
West Cook                               ,TOWN HOUSE,2054.5
West Cook                               ,VACANT LAND,3300.0
West Elsdon                             ,2-6 UNIT,3780.0
West Elsdon                             ,7+ UNIT,3125.0
West Elsdon                             ,COMM/IND,3125.0
West Elsdon                             ,CONDO,34607.0
West Elsdon                             ,SINGLE FAMILY,3780.0
West Elsdon                             ,TOWN HOUSE,1996.0
West Elsdon                             ,VACANT LAND,2747.0
West Englewood                          ,2-6 UNIT,3125.0
West Englewood                          ,7+ UNIT,6250.0
West Englewood                          ,COMM/IND,0.0
West Englewood                          ,CONDO,9004.0
West Englewood                          ,NON PROFIT,2720.5
West Englewood                          ,SINGLE FAMILY,3125.0
West Englewood                          ,TOWN HOUSE,3075.0
West Englewood                          ,VACANT LAND,3125.0
West Garfield                           ,2-6 UNIT,3125.0
West Garfield                           ,7+ UNIT,6323.5
West Garfield                           ,COMM/IND,0.0
West Garfield                           ,CONDO,6091.0
West Garfield                           ,SINGLE FAMILY,3125.0
West Garfield                           ,TOWN HOUSE,1957.0
West Garfield                           ,VACANT LAND,3125.0
West Lawn                               ,2-6 UNIT,3780.0
West Lawn                               ,7+ UNIT,6250.0
West Lawn                               ,COMM/IND,3125.0
West Lawn                               ,CONDO,279165.0
West Lawn                               ,SINGLE FAMILY,3750.0
West Lawn                               ,VACANT LAND,2994.0
West Pullman                            ,2-6 UNIT,3925.0
West Pullman                            ,7+ UNIT,9017.0
West Pullman                            ,COMM/IND,0.0
West Pullman                            ,CONDO,161584.0
West Pullman                            ,SINGLE FAMILY,4305.0
West Pullman                            ,TOWN HOUSE,2510.0
West Pullman                            ,VACANT LAND,3125.0
West Ridge                              ,2-6 UNIT,4092.0
West Ridge                              ,7+ UNIT,7440.0
West Ridge                              ,COMM/IND,2700.0
West Ridge                              ,CONDO,13101.0
West Ridge                              ,NON PROFIT,3100.0
West Ridge                              ,SINGLE FAMILY,4092.0
West Ridge                              ,TOWN HOUSE,1785.5
West Ridge                              ,VACANT LAND,2480.0
West Town                               ,2-6 UNIT,3050.0
West Town                               ,7+ UNIT,4368.0
West Town                               ,COMM/IND,2468.0
West Town                               ,CONDO,6367.0
West Town                               ,NON PROFIT,7448.0
West Town                               ,SINGLE FAMILY,2976.0
West Town                               ,TOWN HOUSE,1094.0
West Town                               ,VACANT LAND,2738.0
Woodlawn                                ,2-6 UNIT,3172.5
Woodlawn                                ,7+ UNIT,8550.0
Woodlawn                                ,COMM/IND,0.0
Woodlawn                                ,CONDO,8236.0
Woodlawn                                ,SINGLE FAMILY,3100.0
Woodlawn                                ,TOWN HOUSE,1893.0
Woodlawn                                ,VACANT LAND,3125.0
